step,denied_requests,total_nodes_traversed,total_fragments
377,69,1822,991
378,69,1838,992
379,69,1839,993
380,69,1859,994
381,69,1859,995
382,70,1859,996
383,70,1859,997
384,70,1859,998
385,70,1859,999
386,70,1874,1000
387,70,1891,1001
388,70,1891,1002
389,70,1905,1004
390,70,1905,1005
391,70,1905,1005
392,70,1907,1005
393,70,1907,1005
394,70,1921,1005
395,70,1939,1005
396,70,1959,1005
397,70,1963,1005
398,70,1972,1006
399,71,1972,1007
400,71,1972,1008
401,71,1988,1009
402,72,1988,1010
403,72,2012,1011
404,72,2012,1012
405,73,2012,1013
406,73,2012,1014
407,73,2013,1016
408,74,2013,1018
409,74,2013,1020
410,74,2017,1023
411,74,2038,1027
412,75,2038,1031
413,75,2048,1036
414,75,2074,1041
415,76,2074,1046
416,77,2074,1051
417,78,2074,1056
418,79,2074,1061
419,80,2074,1066
420,81,2074,1071
421,81,2074,1075
422,81,2097,1079
423,81,2121,1083
424,82,2121,1087
425,83,2121,1091
426,84,2121,1095
427,85,2121,1099
428,85,2121,1103
429,85,2137,1108
430,86,2137,1113
431,86,2137,1117
432,86,2137,1120
433,86,2147,1124
434,86,2164,1128
435,87,2164,1132
436,87,2182,1136
437,87,2182,1140
438,87,2182,1143
439,87,2199,1146
440,87,2209,1150
441,87,2209,1154
442,87,2226,1158
443,87,2226,1162
444,88,2226,1166
445,89,2226,1170
446,89,2242,1175
447,90,2242,1180
448,90,2242,1184
449,90,2255,1189
450,90,2255,1194
451,90,2255,1199
452,90,2274,1204
453,91,2274,1209
454,92,2274,1214
455,93,2274,1219
456,93,2274,1224
457,93,2274,1229
458,93,2274,1233
459,93,2274,1237
460,93,2285,1242
461,93,2285,1246
462,93,2285,1250
463,93,2285,1254
464,93,2292,1258
465,93,2306,1262
466,93,2306,1265
467,93,2318,1268
468,93,2318,1271
469,93,2318,1274
470,93,2337,1277
471,93,2363,1280
472,94,2363,1283
473,95,2363,1286
474,95,2373,1289
475,95,2373,1291
476,95,2373,1293
477,95,2373,1295
478,95,2373,1297
479,95,2397,1300
480,95,2397,1303
481,95,2397,1306
482,95,2397,1308
483,95,2397,1310
484,95,2397,1312
485,95,2406,1314
486,95,2413,1316
487,95,2424,1318
488,95,2424,1320
489,95,2431,1322
490,95,2444,1324
491,95,2468,1327
492,95,2468,1330
493,95,2483,1333
494,95,2503,1336
495,95,2521,1340
496,95,2521,1344
497,95,2533,1348
498,95,2533,1351
499,95,2552,1355
500,95,2553,1359
501,95,2570,1363
502,96,2570,1367
503,96,2570,1371
504,97,2570,1375
505,97,2583,1380
506,97,2583,1385
507,98,2583,1390
508,98,2583,1394
509,98,2583,1398
510,98,2608,1403
511,98,2615,1408
512,98,2615,1413
513,98,2617,1419
514,98,2635,1425
515,99,2635,1431
516,100,2635,1437
517,101,2635,1443
518,101,2635,1448
519,101,2637,1454
520,101,2637,1460
521,102,2637,1466
522,102,2637,1472
523,102,2637,1478
524,102,2646,1484
525,102,2665,1490
526,103,2665,1496
527,103,2665,1502
528,103,2665,1507
529,103,2665,1512
530,103,2665,1517
531,103,2683,1522
532,103,2692,1527
533,103,2692,1531
534,103,2716,1536
535,103,2716,1541
536,104,2716,1546
537,104,2716,1550
538,104,2716,1554
539,104,2718,1558
540,104,2718,1562
541,104,2739,1567
542,105,2739,1572
543,106,2739,1577
544,107,2739,1582
545,107,2739,1586
546,107,2758,1590
547,108,2758,1594
548,109,2758,1598
549,110,2758,1602
550,110,2769,1606
551,111,2769,1610
552,112,2769,1614
553,113,2769,1618
554,113,2769,1622
555,113,2784,1626
556,113,2803,1631
557,113,2815,1636
558,113,2815,1641
559,113,2815,1644
560,114,2815,1647
561,114,2833,1650
562,114,2858,1654
563,115,2858,1658
564,115,2858,1662
565,115,2858,1666
566,115,2875,1671
567,115,2883,1676
568,116,2883,1681
569,116,2883,1686
570,116,2883,1691
571,116,2883,1696
572,116,2889,1701
573,116,2889,1706
574,116,2896,1711
575,116,2908,1716
576,116,2923,1722
577,116,2924,1728
578,117,2924,1734
579,118,2924,1740
580,119,2924,1746
581,119,2924,1751
582,120,2924,1756
583,121,2924,1761
584,121,2924,1765
585,121,2926,1769
586,122,2926,1773
587,122,2943,1777
588,122,2943,1781
589,123,2943,1785
590,124,2943,1789
591,125,2943,1793
592,125,2943,1797
593,126,2943,1801
594,126,2943,1804
595,126,2943,1807
